DOLocationID,PULocationID,RatecodeID,congestion_surcharge,extra,fare_amount,improvement_surcharge,mta_tax,passenger_count,payment_type,store_and_fwd_flag,tip_amount,tolls_amount,total_amount,tpep_dropoff_datetime,tpep_pickup_datetime,trip_distance,tpep_pickup_datetime_IST,tpep_dropoff_datetime_IST,diff
65,113,1,2.5,3.0,13.5,0.3,0.5,1,1,N,3.45,0.0,20.75,2021-01-01 01:12:38,2021-01-01 00:58:21,3.5,2021-01-01 13:28:21,2021-01-01 13:42:38,857
28,236,1,2.5,3.0,39.0,0.3,0.5,0,1,N,0.0,6.12,48.92,2021-01-01 00:24:16,2021-01-01 00:01:13,14.3,2021-01-01 12:31:13,2021-01-01 12:54:16,1383
236,141,1,2.5,3.0,5.5,0.3,0.5,1,1,N,2.0,0.0,11.3,2021-01-01 00:18:40,2021-01-01 00:14:54,1.2,2021-01-01 12:44:54,2021-01-01 12:48:40,226
229,161,1,2.5,3.0,5.5,0.3,0.5,2,1,N,1.0,0.0,10.3,2021-01-01 00:33:11,2021-01-01 00:27:18,.70,2021-01-01 12:57:18,2021-01-01 13:03:11,353
41,143,1,2.5,3.0,11.5,0.3,0.5,1,2,Y,0.0,0.0,15.3,2021-01-01 01:10:48,2021-01-01 00:59:35,3.3,2021-01-01 13:29:35,2021-01-01 13:40:48,673
233,233,5,0.0,0.0,12.0,0.3,0.0,2,1,N,2.45,0.0,14.75,2021-01-01 00:31:04,2021-01-01 00:30:33,.00,2021-01-01 13:00:33,2021-01-01 13:01:04,31
141,237,1,2.5,3.0,4.0,0.3,0.5,1,1,N,2.0,0.0,9.8,2021-01-01 00:53:16,2021-01-01 00:51:15,.60,2021-01-01 13:21:15,2021-01-01 13:23:16,121
133,90,1,2.5,3.0,28.0,0.3,0.5,1,1,N,7.95,0.0,39.75,2021-01-01 01:10:58,2021-01-01 00:50:44,9.6,2021-01-01 13:20:44,2021-01-01 13:40:58,1214
229,107,1,2.5,3.0,6.5,0.3,0.5,1,1,N,2.0,0.0,12.3,2021-01-01 00:36:37,2021-01-01 00:32:42,1.6,2021-01-01 13:02:42,2021-01-01 13:06:37,235
116,142,1,2.5,3.0,17.0,0.3,0.5,1,2,N,0.0,0.0,20.8,2021-01-01 00:44:55,2021-01-01 00:32:01,5.2,2021-01-01 13:02:01,2021-01-01 13:14:55,774
256,107,1,0.0,0.0,17.2,0.3,0.5,1,1,N,0.0,0.0,18.0,2021-01-01 00:24:57,2021-01-01 00:11:12,.00,2021-01-01 12:41:12,2021-01-01 12:54:57,825
263,238,1,2.5,3.0,8.0,0.3,0.5,1,1,N,2.95,0.0,14.75,2021-01-01 00:59:51,2021-01-01 00:52:09,1.8,2021-01-01 13:22:09,2021-01-01 13:29:51,462
142,249,1,2.5,3.0,14.5,0.3,0.5,1,1,N,5.45,0.0,23.75,2021-01-01 00:27:14,2021-01-01 00:12:48,4.1,2021-01-01 12:42:48,2021-01-01 12:57:14,866
75,142,1,2.5,3.0,9.5,0.3,0.5,3,1,N,2.5,0.0,15.8,2021-01-01 00:40:59,2021-01-01 00:32:58,2.5,2021-01-01 13:02:58,2021-01-01 13:10:59,481
145,230,1,2.5,3.0,10.0,0.3,0.5,1,1,N,2.75,0.0,16.55,2021-01-01 00:49:39,2021-01-01 00:41:19,2.7,2021-01-01 13:11:19,2021-01-01 13:19:39,500
48,239,1,2.5,3.0,6.0,0.3,0.5,1,2,N,0.0,0.0,9.8,2021-01-01 00:12:55,2021-01-01 00:08:06,1.2,2021-01-01 12:38:06,2021-01-01 12:42:55,289
107,48,1,2.5,3.0,9.5,0.3,0.5,1,2,N,0.0,0.0,13.3,2021-01-01 00:26:34,2021-01-01 00:16:43,2.4,2021-01-01 12:46:43,2021-01-01 12:56:34,591
107,107,1,2.5,3.0,3.5,0.3,0.5,1,1,N,1.45,0.0,8.75,2021-01-01 00:29:30,2021-01-01 00:27:30,.40,2021-01-01 12:57:30,2021-01-01 12:59:30,120
228,113,1,2.5,3.0,24.5,0.3,0.5,1,2,N,0.0,0.0,28.3,2021-01-01 00:38:24,2021-01-01 00:11:28,6.8,2021-01-01 12:41:28,2021-01-01 13:08:24,1616
137,230,1,2.5,3.0,12.0,0.3,0.5,2,1,Y,3.15,0.0,18.95,2021-01-01 00:56:18,2021-01-01 00:41:07,2.5,2021-01-01 13:11:07,2021-01-01 13:26:18,911
61,7,1,0.0,0.5,45.5,0.3,0.5,2,2,N,0.0,0.0,46.8,2021-01-01 01:17:07,2021-01-01 00:40:27,15.4,2021-01-01 13:10:27,2021-01-01 13:47:07,2200
140,233,1,2.5,3.0,6.5,0.3,0.5,2,1,N,1.0,0.0,11.3,2021-01-01 00:33:57,2021-01-01 00:29:11,1.5,2021-01-01 12:59:11,2021-01-01 13:03:57,286
202,262,1,2.5,3.0,14.5,0.3,0.5,1,2,N,0.0,0.0,18.3,2021-01-01 00:51:20,2021-01-01 00:37:21,4.2,2021-01-01 13:07:21,2021-01-01 13:21:20,839
75,113,1,2.5,3.0,16.0,0.3,0.5,2,1,N,2.97,0.0,22.77,2021-01-01 00:56:22,2021-01-01 00:41:19,5.1,2021-01-01 13:11:19,2021-01-01 13:26:22,903
233,48,1,2.5,3.0,12.0,0.3,0.5,2,1,N,1.58,0.0,17.38,2021-01-01 00:26:40,2021-01-01 00:11:44,2.7,2021-01-01 12:41:44,2021-01-01 12:56:40,896
236,141,1,2.5,3.0,5.5,0.3,0.5,2,1,N,1.85,0.0,11.15,2021-01-01 00:56:24,2021-01-01 00:52:46,1.2,2021-01-01 13:22:46,2021-01-01 13:26:24,218
