DOLocationID,PULocationID,RatecodeID,VendorID,congestion_surcharge,extra,fare_amount,improvement_surcharge,mta_tax,passenger_count,payment_type,store_and_fwd_flag,tip_amount,tolls_amount,total_amount,tpep_dropoff_datetime,tpep_pickup_datetime,trip_distance,tpep_pickup_datetime_IST,tpep_dropoff_datetime_IST,diff
42,238,1,1,0.0,0.0,17.2,0.3,0.5,1,1,N,0.0,0.0,18.0,2021-01-01 01:04:49,2021-01-01 00:52:42,.00,2021-01-01 13:22:42,2021-01-01 13:34:49,727
140,137,1,1,2.5,2.5,7.5,0.3,0.5,1,2,N,0.0,0.0,10.8,2021-01-01 00:15:31,2021-01-01 00:08:51,2,2021-01-01 12:38:51,2021-01-01 12:45:31,400
234,114,1,1,2.5,3.0,5.5,0.3,0.5,2,2,N,0.0,0.0,9.3,2021-01-01 00:34:12,2021-01-01 00:30:32,1,2021-01-01 13:00:32,2021-01-01 13:04:12,220
229,100,1,2,2.5,0.5,9.5,0.3,0.5,1,2,N,0.0,0.0,13.3,2021-01-01 00:14:29,2021-01-01 00:03:48,1.98,2021-01-01 12:33:48,2021-01-01 12:44:29,641
170,229,1,2,2.5,0.5,6.0,0.3,0.5,1,2,N,0.0,0.0,9.8,2021-01-01 00:21:49,2021-01-01 00:16:19,1.27,2021-01-01 12:46:19,2021-01-01 12:51:49,330
239,48,1,2,2.5,0.5,7.0,0.3,0.5,1,2,N,0.0,0.0,10.8,2021-01-01 00:52:48,2021-01-01 00:47:17,1.66,2021-01-01 13:17:17,2021-01-01 13:22:48,331
48,142,1,2,2.5,0.5,5.0,0.3,0.5,1,2,N,0.0,0.0,8.8,2021-01-01 01:01:27,2021-01-01 00:57:26,.89,2021-01-01 13:27:26,2021-01-01 13:31:27,241
256,137,1,2,2.5,0.5,16.5,0.3,0.5,1,1,N,4.06,0.0,24.36,2021-01-01 00:15:45,2021-01-01 00:03:09,4.85,2021-01-01 12:33:09,2021-01-01 12:45:45,756
262,140,1,2,2.5,0.5,6.5,0.3,0.5,1,2,N,0.0,0.0,10.3,2021-01-01 00:59:17,2021-01-01 00:54:20,1.16,2021-01-01 13:24:20,2021-01-01 13:29:17,297
238,264,1,1,2.5,3.0,6.5,0.3,0.5,1,1,N,2.0,0.0,12.3,2021-01-01 00:42:58,2021-01-01 00:37:06,1.4,2021-01-01 13:07:06,2021-01-01 13:12:58,352
114,170,1,2,2.5,0.5,9.0,0.3,0.5,5,1,N,2.0,0.0,14.8,2021-01-01 00:36:27,2021-01-01 00:28:07,2.01,2021-01-01 12:58:07,2021-01-01 13:06:27,500
87,186,1,2,2.5,0.5,12.0,0.3,0.5,2,1,N,10.08,0.0,25.88,2021-01-01 01:05:19,2021-01-01 00:54:10,3.45,2021-01-01 13:24:10,2021-01-01 13:35:19,669
256,209,1,2,2.5,0.5,17.0,0.3,0.5,1,1,N,4.16,0.0,24.96,2021-01-01 01:11:59,2021-01-01 00:50:48,3.79,2021-01-01 13:20:48,2021-01-01 13:41:59,1271
107,132,2,1,2.5,2.5,52.0,0.3,0.5,1,1,N,12.25,6.12,73.67,2021-01-01 00:43:49,2021-01-01 00:22:52,17.2,2021-01-01 12:52:52,2021-01-01 13:13:49,1257
112,232,1,1,2.5,3.0,11.0,0.3,0.5,1,1,N,2.95,0.0,17.75,2021-01-01 01:01:14,2021-01-01 00:52:27,3.1,2021-01-01 13:22:27,2021-01-01 13:31:14,527
141,164,1,2,2.5,0.5,10.5,0.3,0.5,3,1,N,4.29,0.0,18.59,2021-01-01 00:17:55,2021-01-01 00:08:04,2.85,2021-01-01 12:38:04,2021-01-01 12:47:55,591
236,141,1,2,2.5,0.5,7.5,0.3,0.5,3,1,N,2.26,0.0,13.56,2021-01-01 00:28:11,2021-01-01 00:22:02,1.68,2021-01-01 12:52:02,2021-01-01 12:58:11,369
236,263,1,2,2.5,0.5,4.5,0.3,0.5,3,1,N,1.66,0.0,9.96,2021-01-01 00:36:07,2021-01-01 00:33:33,.77,2021-01-01 13:03:33,2021-01-01 13:06:07,154
236,141,1,2,2.5,0.5,4.0,0.3,0.5,2,1,N,1.5,0.0,9.3,2021-01-01 00:41:15,2021-01-01 00:39:08,.52,2021-01-01 13:09:08,2021-01-01 13:11:15,127
140,141,1,2,2.5,0.5,3.5,0.3,0.5,3,1,N,0.5,0.0,7.8,2021-01-01 00:46:58,2021-01-01 00:45:29,.40,2021-01-01 13:15:29,2021-01-01 13:16:58,89
75,263,1,2,2.5,0.5,5.5,0.3,0.5,2,1,N,1.86,0.0,11.16,2021-01-01 00:58:45,2021-01-01 00:55:19,1.05,2021-01-01 13:25:19,2021-01-01 13:28:45,206
238,249,1,2,2.5,0.5,21.5,0.3,0.5,2,1,N,5.06,0.0,30.36,2021-01-01 01:07:41,2021-01-01 00:44:58,5.85,2021-01-01 13:14:58,2021-01-01 13:37:41,1363
